title,url,date_published,snippet,body
Why is inflation relatively low in some places?,https://www.economist.com/finance-and-economics/2022/06/20/why-is-inflation-relatively-low-in-some-places,2022-06-20T19:37:33Z,We identify the large economies where inflation trails behind that in the rich world,"Faced with public uproar about the cost of living, policymakers like to point out that rising prices are a global phenomenon. Every country in the world is getting a big bite and piece of this inflat… [+5886 chars]"
GLOBAL ECONOMY Asia's factory activity slows in May as China COVID curbs weigh - Reuters,https://www.reuters.com/markets/asia/global-economy-asias-factory-activity-slows-may-china-covid-curbs-weigh-2022-06-01/,2022-06-01T02:28:00Z,"Asia's factory activity slowed in May as China's heavy-handed coronavirus curbs continued to disrupt supply chains and dampen demand, adding to woes for some of the region's economies that are already under strain from surging raw material costs.","TOKYO, June 1 (Reuters) - Asia's factory activity slowed in May as China's heavy-handed coronavirus curbs continued to disrupt supply chains and dampen demand, adding to woes for some of the region's… [+2605 chars]"
Malaysia firms turn down orders as migrant labour shortage hits - Reuters,https://www.reuters.com/world/asia-pacific/malaysia-firms-turn-down-orders-migrant-labour-shortage-hits-2022-06-13/,2022-06-13T01:13:00Z,"Malaysian companies from palm oil plantations to semiconductor makers are refusing orders and forgoing billions in sales, hampered by a shortage of more than a million workers that threatens the country's economic recovery.","KUALA LUMPUR, June 13 (Reuters) - Malaysian companies from palm oil plantations to semiconductor makers are refusing orders and forgoing billions in sales, hampered by a shortage of more than a milli… [+4822 chars]"
"Analysis: Russians feel little economic pain now, long-term outlook darkens - Reuters",https://www.reuters.com/markets/europe/russians-feel-little-economic-pain-now-long-term-outlook-darkens-2022-05-30/,2022-05-30T11:07:00Z,"For Oleg Kechin, owner of a chain of barbershops, forecasts that Russia will be plunged into its deepest economic crisis in a generation feel overdone.","LONDON, May 30 (Reuters) - For Oleg Kechin, owner of a chain of barbershops, forecasts that Russia will be plunged into its deepest economic crisis in a generation feel overdone.
U.S. President Joe … [+5779 chars]"
"Asia's war on inflation targets supply, not consumers - Reuters.com",https://www.reuters.com/markets/asia/asias-war-inflation-targets-supply-not-consumers-2022-05-25/,2022-05-25T23:04:00Z,"From export bans to price controls, governments in Asia are taking a much more targeted approach than their Western counterparts in curbing global inflationary pressure, a strategy that appears to be working at least for now.","May 26 (Reuters) - From export bans to price controls, governments in Asia are taking a much more targeted approach than their Western counterparts in curbing global inflationary pressure, a strategy… [+4513 chars]"
China funnels its overseas aid money into political leaders’ home provinces,https://amp.theguardian.com/world/2022/may/29/china-funnels-overseas-aid-money-political-leaders-home-provinces,2022-05-29T10:00:05Z,"Schools, stadiums or airports help the presidents of countries that receive cash from Beijing tighten their grip on powerChina’s financing of overseas projects has disproportionately benefited the core political supporters of incumbent presidents or prime min…","Chinas financing of overseas projects has disproportionately benefited the core political supporters of incumbent presidents or prime ministers of those countries that receive the funds, according to… [+6452 chars]"
China’s COVID curbs pressure Asian factory output,https://www.aljazeera.com/economy/2022/6/1/chinas-covid-curbs-pressure-asian-factory-output,2022-06-01T08:10:15Z,Manufacturers slowed activity last month in countries ranging from Japan to Taiwan and Malaysia.,"Asias factory activity slowed in May as Chinas heavy-handed coronavirus curbs continued to disrupt supply chains and dampen demand, adding to woes for some of the regions economies that are already u… [+3260 chars]"
"Refugees risk exploitation, abuse in Malaysia food industry",https://www.aljazeera.com/news/2022/6/8/malaysia-refugee-food-industry-exploitation,2022-06-08T00:42:04Z,Malaysian law does not recognise refugees so many are forced to work informally to support themselves.,"Kuala Lumpur, Malaysia When Mirron* came from Somalia to Malaysia in 2018, she had no idea what it was really like to be a refugee in the Southeast Asian nation.
The 24-year-old thought she would be… [+7828 chars]"
"After China row, Australia eyes Southeast Asia as ally in trade",https://www.aljazeera.com/economy/2022/6/20/after-china-row-australia-eyes-southeast-asia-as-ally-in-trade,2022-06-20T06:38:50Z,Prime Minister Anthony Albanese has pledged to deepen economic engagement with region amid tensions with Beijing.,"Sydney, Australia While analysts watch for clues about how Australias new government will handle relations with China, Canberras sights are set on deepening trade with another megamarket closer to ho… [+8255 chars]"
ST Explains: What is food protectionism and why are countries doing it?,https://www.straitstimes.com/world/st-explains-what-is-food-protectionism-and-why-are-countries-doing-it,2022-05-26T11:57:15Z,"SINGAPORE - Dwindling food supplies, ensuing price spikes and risks of hunger in import-dependent countries are causing consternation globally, with the Bank of England's governor labelling the food security crisis ""apocalyptic"".
. Read more at straitstimes.c…","SINGAPORE - Dwindling food supplies, ensuing price spikes and risks of hunger in import-dependent countries are causing consternation globally, with the Bank of England's governor labelling the food … [+4853 chars]"
